text,label
"Running a bit late for the study group, be there in 10 min",ham
Cash prize alert: claim your iPhone before it expires! bit.ly/xyz123,spam
WIN a FREE gift card now! Click here: bit.ly/xyz123,spam
"Don't forget about the project meeting this Friday, see you there",ham
What time does the project meeting start on Friday?,ham
Thanks for helping with the study group yesterday,ham
"Limited time offer! Get gift card FREE, click tinyurl.com/abc today",spam
What time does lunch start on Monday?,ham
Cash prize alert: claim your gift card before it expires! bit.ly/xyz123,spam
Congratulations! You have WON a laptop. Claim NOW at tinyurl.com/abc,spam
Congratulations! You have WON a gift card. Claim NOW at tinyurl.com/abc,spam
WIN a FREE vacation now! Click here: win-now.co/claim,spam
Cash prize alert: claim your laptop before it expires! bit.ly/xyz123,spam
Can you send me the notes from the study group class?,ham
Can you send me the notes from the project meeting class?,ham
WIN a FREE vacation now! Click here: tinyurl.com/abc,spam
Thanks for helping with basketball yesterday,ham
What time does the project meeting start on Friday?,ham
Congratulations! You have WON a iPhone. Claim NOW at win-now.co/claim,spam
"Hey, are we still meeting for basketball on Monday?",ham
"Limited time offer! Get laptop FREE, click win-now.co/claim today",spam
You've been selected for a iPhone! Reply YES to claim,spam
WIN a FREE cash prize now! Click here: tinyurl.com/abc,spam
You've been selected for a cash prize! Reply YES to claim,spam
"Running a bit late for lunch, be there in 10 min",ham
"Running a bit late for basketball, be there in 10 min",ham
Cash prize alert: claim your gift card before it expires! bit.ly/xyz123,spam
Congratulations! You have WON a gift card. Claim NOW at tinyurl.com/abc,spam
"Hey, are we still meeting for lunch on the weekend?",ham
"Running a bit late for lunch, be there in 10 min",ham
"Running a bit late for basketball, be there in 10 min",ham
"Hey, are we still meeting for the study group on tomorrow?",ham
"Limited time offer! Get laptop FREE, click win-now.co/claim today",spam
What time does lunch start on tomorrow?,ham
"Hey, are we still meeting for the study group on tomorrow?",ham
WIN a FREE laptop now! Click here: bit.ly/xyz123,spam
You've been selected for a cash prize! Reply YES to claim,spam
What time does basketball start on the weekend?,ham
WIN a FREE iPhone now! Click here: win-now.co/claim,spam
"Don't forget about lunch this Monday, see you there",ham
Can you send me the notes from basketball class?,ham
"Running a bit late for the project meeting, be there in 10 min",ham
Cash prize alert: claim your cash prize before it expires! win-now.co/claim,spam
URGENT: Your account will be suspended. Verify at win-now.co/claim,spam
Congratulations! You have WON a iPhone. Claim NOW at tinyurl.com/abc,spam
"Hey, are we still meeting for basketball on Friday?",ham
What time does lunch start on tomorrow?,ham
Thanks for helping with the study group yesterday,ham
Can you send me the notes from the project meeting class?,ham
URGENT: Your account will be suspended. Verify at win-now.co/claim,spam
Can you send me the notes from basketball class?,ham
"Hey, are we still meeting for the project meeting on Monday?",ham
Can you send me the notes from the study group class?,ham
Can you send me the notes from the study group class?,ham
Thanks for helping with basketball yesterday,ham
"Don't forget about basketball this the weekend, see you there",ham
"Running a bit late for basketball, be there in 10 min",ham
URGENT: Your account will be suspended. Verify at win-now.co/claim,spam
"Don't forget about lunch this Monday, see you there",ham
"Don't forget about basketball this the weekend, see you there",ham
"Running a bit late for lunch, be there in 10 min",ham
Can you send me the notes from basketball class?,ham
"Hey, are we still meeting for the study group on tomorrow?",ham
What time does basketball start on tomorrow?,ham
"Hey, are we still meeting for basketball on tomorrow?",ham
"Don't forget about the project meeting this tomorrow, see you there",ham
Can you send me the notes from the project meeting class?,ham
Can you send me the notes from basketball class?,ham
"Hey, are we still meeting for basketball on tomorrow?",ham
You've been selected for a laptop! Reply YES to claim,spam
Thanks for helping with the project meeting yesterday,ham
What time does the study group start on Monday?,ham
Cash prize alert: claim your laptop before it expires! tinyurl.com/abc,spam
Congratulations! You have WON a gift card. Claim NOW at bit.ly/xyz123,spam
Can you send me the notes from lunch class?,ham
"Limited time offer! Get laptop FREE, click bit.ly/xyz123 today",spam
What time does the study group start on the weekend?,ham
Can you send me the notes from the study group class?,ham
"Hey, are we still meeting for the project meeting on Friday?",ham
Cash prize alert: claim your laptop before it expires! tinyurl.com/abc,spam
Congratulations! You have WON a iPhone. Claim NOW at tinyurl.com/abc,spam
"Limited time offer! Get laptop FREE, click win-now.co/claim today",spam
Thanks for helping with the project meeting yesterday,ham
What time does the project meeting start on the weekend?,ham
Congratulations! You have WON a gift card. Claim NOW at win-now.co/claim,spam
Can you send me the notes from basketball class?,ham
URGENT: Your account will be suspended. Verify at tinyurl.com/abc,spam
"Running a bit late for lunch, be there in 10 min",ham
"Limited time offer! Get cash prize FREE, click win-now.co/claim today",spam
"Limited time offer! Get vacation FREE, click tinyurl.com/abc today",spam
Thanks for helping with lunch yesterday,ham
Thanks for helping with lunch yesterday,ham
"Don't forget about basketball this the weekend, see you there",ham
Thanks for helping with the study group yesterday,ham
"Limited time offer! Get vacation FREE, click bit.ly/xyz123 today",spam
What time does the project meeting start on Friday?,ham
Can you send me the notes from lunch class?,ham
What time does lunch start on Monday?,ham
Can you send me the notes from the project meeting class?,ham
"Limited time offer! Get gift card FREE, click bit.ly/xyz123 today",spam
"Don't forget about the project meeting this tomorrow, see you there",ham
Thanks for helping with basketball yesterday,ham
What time does lunch start on tomorrow?,ham
WIN a FREE iPhone now! Click here: bit.ly/xyz123,spam
Can you send me the notes from lunch class?,ham
"Limited time offer! Get iPhone FREE, click win-now.co/claim today",spam
Thanks for helping with basketball yesterday,ham
You've been selected for a iPhone! Reply YES to claim,spam
"Hey, are we still meeting for lunch on tomorrow?",ham
Thanks for helping with the project meeting yesterday,ham
Cash prize alert: claim your cash prize before it expires! bit.ly/xyz123,spam
"Don't forget about lunch this Monday, see you there",ham
Thanks for helping with basketball yesterday,ham
"Don't forget about lunch this the weekend, see you there",ham
"Hey, are we still meeting for the project meeting on tomorrow?",ham
Thanks for helping with the study group yesterday,ham
You've been selected for a gift card! Reply YES to claim,spam
"Running a bit late for the project meeting, be there in 10 min",ham
What time does basketball start on tomorrow?,ham
"Hey, are we still meeting for basketball on the weekend?",ham
"Limited time offer! Get laptop FREE, click win-now.co/claim today",spam
"Don't forget about lunch this the weekend, see you there",ham
Can you send me the notes from the project meeting class?,ham
"Don't forget about basketball this tomorrow, see you there",ham
What time does basketball start on Monday?,ham
Can you send me the notes from lunch class?,ham
Thanks for helping with the study group yesterday,ham
Thanks for helping with the project meeting yesterday,ham
Congratulations! You have WON a vacation. Claim NOW at win-now.co/claim,spam
Cash prize alert: claim your laptop before it expires! tinyurl.com/abc,spam
"Running a bit late for basketball, be there in 10 min",ham
"Running a bit late for basketball, be there in 10 min",ham
"Don't forget about basketball this tomorrow, see you there",ham
Cash prize alert: claim your cash prize before it expires! tinyurl.com/abc,spam
You've been selected for a cash prize! Reply YES to claim,spam
"Limited time offer! Get gift card FREE, click win-now.co/claim today",spam
"Running a bit late for basketball, be there in 10 min",ham
"Don't forget about the study group this tomorrow, see you there",ham
WIN a FREE laptop now! Click here: bit.ly/xyz123,spam
WIN a FREE laptop now! Click here: tinyurl.com/abc,spam
Can you send me the notes from the project meeting class?,ham
"Running a bit late for basketball, be there in 10 min",ham
"Don't forget about the study group this Monday, see you there",ham
"Limited time offer! Get iPhone FREE, click bit.ly/xyz123 today",spam
"Hey, are we still meeting for lunch on Friday?",ham
You've been selected for a gift card! Reply YES to claim,spam
"Hey, are we still meeting for the project meeting on Friday?",ham
Thanks for helping with the project meeting yesterday,ham
You've been selected for a vacation! Reply YES to claim,spam
"Hey, are we still meeting for lunch on Friday?",ham
"Don't forget about lunch this Friday, see you there",ham
You've been selected for a iPhone! Reply YES to claim,spam
"Limited time offer! Get laptop FREE, click tinyurl.com/abc today",spam
Congratulations! You have WON a gift card. Claim NOW at win-now.co/claim,spam
"Limited time offer! Get iPhone FREE, click win-now.co/claim today",spam
URGENT: Your account will be suspended. Verify at win-now.co/claim,spam
Can you send me the notes from the project meeting class?,ham
What time does the study group start on tomorrow?,ham
"Hey, are we still meeting for lunch on Friday?",ham
"Running a bit late for basketball, be there in 10 min",ham
Cash prize alert: claim your gift card before it expires! win-now.co/claim,spam
"Don't forget about the project meeting this the weekend, see you there",ham
WIN a FREE vacation now! Click here: win-now.co/claim,spam
"Don't forget about lunch this Monday, see you there",ham
Cash prize alert: claim your laptop before it expires! win-now.co/claim,spam
What time does basketball start on Monday?,ham
Can you send me the notes from the project meeting class?,ham
Can you send me the notes from the project meeting class?,ham
Thanks for helping with basketball yesterday,ham
What time does lunch start on Friday?,ham
What time does the project meeting start on tomorrow?,ham
Thanks for helping with lunch yesterday,ham
URGENT: Your account will be suspended. Verify at bit.ly/xyz123,spam
Thanks for helping with lunch yesterday,ham
Can you send me the notes from basketball class?,ham
"Hey, are we still meeting for the study group on tomorrow?",ham
"Don't forget about the project meeting this the weekend, see you there",ham
Cash prize alert: claim your laptop before it expires! bit.ly/xyz123,spam
"Don't forget about lunch this the weekend, see you there",ham
WIN a FREE vacation now! Click here: bit.ly/xyz123,spam
Can you send me the notes from the project meeting class?,ham
"Don't forget about the project meeting this the weekend, see you there",ham
Can you send me the notes from the project meeting class?,ham
"Running a bit late for the study group, be there in 10 min",ham
"Limited time offer! Get gift card FREE, click win-now.co/claim today",spam
WIN a FREE gift card now! Click here: win-now.co/claim,spam
You've been selected for a laptop! Reply YES to claim,spam
Can you send me the notes from the project meeting class?,ham
"Running a bit late for the project meeting, be there in 10 min",ham
Can you send me the notes from the study group class?,ham
"Limited time offer! Get iPhone FREE, click tinyurl.com/abc today",spam
What time does the project meeting start on the weekend?,ham
What time does the study group start on the weekend?,ham
Can you send me the notes from basketball class?,ham
Thanks for helping with lunch yesterday,ham
Congratulations! You have WON a vacation. Claim NOW at win-now.co/claim,spam
"Hey, are we still meeting for the project meeting on tomorrow?",ham
What time does the project meeting start on Monday?,ham
What time does the project meeting start on tomorrow?,ham
Thanks for helping with lunch yesterday,ham
Cash prize alert: claim your gift card before it expires! bit.ly/xyz123,spam
Thanks for helping with lunch yesterday,ham
What time does basketball start on Monday?,ham
WIN a FREE gift card now! Click here: tinyurl.com/abc,spam
Can you send me the notes from the study group class?,ham
Can you send me the notes from the study group class?,ham
"Limited time offer! Get laptop FREE, click win-now.co/claim today",spam
You've been selected for a cash prize! Reply YES to claim,spam
"Don't forget about the project meeting this tomorrow, see you there",ham
Thanks for helping with basketball yesterday,ham
URGENT: Your account will be suspended. Verify at tinyurl.com/abc,spam
Thanks for helping with basketball yesterday,ham
Can you send me the notes from the project meeting class?,ham
"Limited time offer! Get laptop FREE, click tinyurl.com/abc today",spam
What time does basketball start on Monday?,ham
What time does the project meeting start on tomorrow?,ham
Cash prize alert: claim your iPhone before it expires! win-now.co/claim,spam
"Don't forget about the study group this tomorrow, see you there",ham
Congratulations! You have WON a laptop. Claim NOW at tinyurl.com/abc,spam
What time does the study group start on Monday?,ham
What time does lunch start on tomorrow?,ham
"Hey, are we still meeting for basketball on Friday?",ham
URGENT: Your account will be suspended. Verify at win-now.co/claim,spam
Can you send me the notes from the study group class?,ham
"Don't forget about the study group this tomorrow, see you there",ham
Thanks for helping with basketball yesterday,ham
Thanks for helping with lunch yesterday,ham
Can you send me the notes from the project meeting class?,ham
"Limited time offer! Get iPhone FREE, click tinyurl.com/abc today",spam
Thanks for helping with basketball yesterday,ham
What time does basketball start on Monday?,ham
Thanks for helping with lunch yesterday,ham
Can you send me the notes from lunch class?,ham
"Don't forget about the project meeting this Monday, see you there",ham
WIN a FREE gift card now! Click here: tinyurl.com/abc,spam
Congratulations! You have WON a laptop. Claim NOW at bit.ly/xyz123,spam
"Don't forget about the project meeting this Friday, see you there",ham
What time does lunch start on the weekend?,ham
"Don't forget about lunch this tomorrow, see you there",ham
"Limited time offer! Get cash prize FREE, click tinyurl.com/abc today",spam
Cash prize alert: claim your gift card before it expires! win-now.co/claim,spam
What time does basketball start on Monday?,ham
Can you send me the notes from lunch class?,ham
Congratulations! You have WON a laptop. Claim NOW at bit.ly/xyz123,spam
URGENT: Your account will be suspended. Verify at bit.ly/xyz123,spam
Can you send me the notes from lunch class?,ham
Can you send me the notes from basketball class?,ham
"Running a bit late for lunch, be there in 10 min",ham
Can you send me the notes from the study group class?,ham
"Hey, are we still meeting for lunch on Friday?",ham
Congratulations! You have WON a laptop. Claim NOW at tinyurl.com/abc,spam
URGENT: Your account will be suspended. Verify at bit.ly/xyz123,spam
"Running a bit late for lunch, be there in 10 min",ham
"Don't forget about lunch this the weekend, see you there",ham
"Running a bit late for lunch, be there in 10 min",ham
"Hey, are we still meeting for lunch on the weekend?",ham
Thanks for helping with lunch yesterday,ham
Thanks for helping with lunch yesterday,ham
Can you send me the notes from lunch class?,ham
Cash prize alert: claim your laptop before it expires! win-now.co/claim,spam
Thanks for helping with basketball yesterday,ham
Thanks for helping with lunch yesterday,ham
What time does the study group start on the weekend?,ham
Can you send me the notes from the project meeting class?,ham
Thanks for helping with the project meeting yesterday,ham
"Don't forget about basketball this tomorrow, see you there",ham
What time does the project meeting start on Monday?,ham
WIN a FREE iPhone now! Click here: tinyurl.com/abc,spam
Cash prize alert: claim your gift card before it expires! bit.ly/xyz123,spam
"Running a bit late for basketball, be there in 10 min",ham
What time does the project meeting start on Monday?,ham
"Running a bit late for basketball, be there in 10 min",ham
You've been selected for a cash prize! Reply YES to claim,spam
Can you send me the notes from lunch class?,ham
"Don't forget about lunch this tomorrow, see you there",ham
Thanks for helping with lunch yesterday,ham
URGENT: Your account will be suspended. Verify at tinyurl.com/abc,spam
Can you send me the notes from the study group class?,ham
Cash prize alert: claim your iPhone before it expires! bit.ly/xyz123,spam
Can you send me the notes from the project meeting class?,ham
Can you send me the notes from basketball class?,ham
"Running a bit late for lunch, be there in 10 min",ham
You've been selected for a iPhone! Reply YES to claim,spam
"Limited time offer! Get vacation FREE, click tinyurl.com/abc today",spam
Thanks for helping with basketball yesterday,ham
"Hey, are we still meeting for basketball on the weekend?",ham
Cash prize alert: claim your laptop before it expires! tinyurl.com/abc,spam
"Don't forget about lunch this Friday, see you there",ham
"Running a bit late for lunch, be there in 10 min",ham
Congratulations! You have WON a cash prize. Claim NOW at tinyurl.com/abc,spam
WIN a FREE iPhone now! Click here: tinyurl.com/abc,spam
Can you send me the notes from the study group class?,ham
Can you send me the notes from basketball class?,ham
What time does lunch start on the weekend?,ham
WIN a FREE gift card now! Click here: win-now.co/claim,spam
Thanks for helping with the project meeting yesterday,ham
WIN a FREE gift card now! Click here: bit.ly/xyz123,spam
"Running a bit late for the project meeting, be there in 10 min",ham
WIN a FREE cash prize now! Click here: tinyurl.com/abc,spam
"Running a bit late for lunch, be there in 10 min",ham
What time does basketball start on Friday?,ham
Can you send me the notes from lunch class?,ham
Can you send me the notes from basketball class?,ham
What time does the study group start on Friday?,ham
URGENT: Your account will be suspended. Verify at bit.ly/xyz123,spam
What time does lunch start on Friday?,ham
What time does the project meeting start on the weekend?,ham
"Running a bit late for the project meeting, be there in 10 min",ham
What time does basketball start on Friday?,ham
Thanks for helping with the project meeting yesterday,ham
"Running a bit late for lunch, be there in 10 min",ham
"Don't forget about the project meeting this the weekend, see you there",ham
URGENT: Your account will be suspended. Verify at bit.ly/xyz123,spam
"Hey, are we still meeting for the project meeting on the weekend?",ham
What time does lunch start on the weekend?,ham
"Running a bit late for the study group, be there in 10 min",ham
"Running a bit late for the study group, be there in 10 min",ham
"Don't forget about lunch this Friday, see you there",ham
Cash prize alert: claim your vacation before it expires! tinyurl.com/abc,spam
"Running a bit late for the study group, be there in 10 min",ham
"Don't forget about the project meeting this the weekend, see you there",ham
What time does lunch start on tomorrow?,ham
WIN a FREE laptop now! Click here: win-now.co/claim,spam
"Don't forget about the study group this tomorrow, see you there",ham
Cash prize alert: claim your cash prize before it expires! tinyurl.com/abc,spam
What time does the project meeting start on Friday?,ham
"Hey, are we still meeting for basketball on the weekend?",ham
"Don't forget about the study group this Monday, see you there",ham
Thanks for helping with basketball yesterday,ham
Can you send me the notes from the study group class?,ham
Thanks for helping with the study group yesterday,ham
Can you send me the notes from lunch class?,ham
"Hey, are we still meeting for lunch on tomorrow?",ham
"Running a bit late for the study group, be there in 10 min",ham
Congratulations! You have WON a laptop. Claim NOW at bit.ly/xyz123,spam
"Hey, are we still meeting for the project meeting on tomorrow?",ham
Can you send me the notes from the project meeting class?,ham
Thanks for helping with the study group yesterday,ham
Thanks for helping with the study group yesterday,ham
"Running a bit late for the project meeting, be there in 10 min",ham
Thanks for helping with the project meeting yesterday,ham
"Running a bit late for the study group, be there in 10 min",ham
"Limited time offer! Get gift card FREE, click win-now.co/claim today",spam
What time does lunch start on tomorrow?,ham
Congratulations! You have WON a gift card. Claim NOW at tinyurl.com/abc,spam
Can you send me the notes from the project meeting class?,ham
Can you send me the notes from the project meeting class?,ham
Thanks for helping with lunch yesterday,ham
Can you send me the notes from the project meeting class?,ham
"Hey, are we still meeting for basketball on Monday?",ham
What time does basketball start on Friday?,ham
URGENT: Your account will be suspended. Verify at win-now.co/claim,spam
What time does the project meeting start on the weekend?,ham
"Hey, are we still meeting for lunch on tomorrow?",ham
Congratulations! You have WON a laptop. Claim NOW at win-now.co/claim,spam
Thanks for helping with lunch yesterday,ham
WIN a FREE iPhone now! Click here: bit.ly/xyz123,spam
"Running a bit late for the project meeting, be there in 10 min",ham
"Limited time offer! Get laptop FREE, click win-now.co/claim today",spam
You've been selected for a laptop! Reply YES to claim,spam
"Don't forget about the project meeting this Monday, see you there",ham
Can you send me the notes from the project meeting class?,ham
"Hey, are we still meeting for basketball on Monday?",ham
"Running a bit late for lunch, be there in 10 min",ham
"Hey, are we still meeting for the project meeting on tomorrow?",ham
WIN a FREE gift card now! Click here: bit.ly/xyz123,spam
What time does lunch start on tomorrow?,ham
URGENT: Your account will be suspended. Verify at tinyurl.com/abc,spam
Can you send me the notes from the project meeting class?,ham
Can you send me the notes from lunch class?,ham
Congratulations! You have WON a iPhone. Claim NOW at bit.ly/xyz123,spam
"Don't forget about basketball this the weekend, see you there",ham
"Running a bit late for the project meeting, be there in 10 min",ham
Cash prize alert: claim your cash prize before it expires! tinyurl.com/abc,spam
"Hey, are we still meeting for basketball on tomorrow?",ham
URGENT: Your account will be suspended. Verify at tinyurl.com/abc,spam
Thanks for helping with basketball yesterday,ham
Thanks for helping with basketball yesterday,ham
What time does the project meeting start on Monday?,ham
Can you send me the notes from basketball class?,ham
URGENT: Your account will be suspended. Verify at tinyurl.com/abc,spam
What time does the project meeting start on Friday?,ham
"Don't forget about the project meeting this Monday, see you there",ham
"Don't forget about the project meeting this tomorrow, see you there",ham
"Hey, are we still meeting for lunch on the weekend?",ham
What time does the study group start on Monday?,ham
You've been selected for a vacation! Reply YES to claim,spam
Congratulations! You have WON a gift card. Claim NOW at tinyurl.com/abc,spam
"Running a bit late for lunch, be there in 10 min",ham
"Don't forget about basketball this the weekend, see you there",ham
"Running a bit late for the study group, be there in 10 min",ham
What time does basketball start on Friday?,ham
"Hey, are we still meeting for the study group on the weekend?",ham
"Running a bit late for lunch, be there in 10 min",ham
What time does the project meeting start on Friday?,ham
"Don't forget about the project meeting this Friday, see you there",ham
WIN a FREE vacation now! Click here: bit.ly/xyz123,spam
Thanks for helping with lunch yesterday,ham
What time does lunch start on tomorrow?,ham
Can you send me the notes from the study group class?,ham
"Hey, are we still meeting for the study group on Friday?",ham
"Limited time offer! Get iPhone FREE, click tinyurl.com/abc today",spam
"Don't forget about the project meeting this Friday, see you there",ham
"Hey, are we still meeting for lunch on tomorrow?",ham
What time does the project meeting start on the weekend?,ham
"Running a bit late for lunch, be there in 10 min",ham
What time does lunch start on the weekend?,ham
"Running a bit late for basketball, be there in 10 min",ham
"Running a bit late for the study group, be there in 10 min",ham
"Hey, are we still meeting for lunch on Friday?",ham
Can you send me the notes from basketball class?,ham
"Running a bit late for basketball, be there in 10 min",ham
Cash prize alert: claim your laptop before it expires! tinyurl.com/abc,spam
URGENT: Your account will be suspended. Verify at win-now.co/claim,spam
Cash prize alert: claim your cash prize before it expires! win-now.co/claim,spam
Can you send me the notes from the study group class?,ham
"Running a bit late for lunch, be there in 10 min",ham
Cash prize alert: claim your laptop before it expires! tinyurl.com/abc,spam
"Running a bit late for the project meeting, be there in 10 min",ham
What time does basketball start on tomorrow?,ham
What time does the project meeting start on tomorrow?,ham
What time does lunch start on Friday?,ham
Thanks for helping with the project meeting yesterday,ham
Can you send me the notes from basketball class?,ham
"Don't forget about the project meeting this Friday, see you there",ham
"Running a bit late for lunch, be there in 10 min",ham
WIN a FREE gift card now! Click here: tinyurl.com/abc,spam
WIN a FREE iPhone now! Click here: tinyurl.com/abc,spam
"Running a bit late for the project meeting, be there in 10 min",ham
Can you send me the notes from basketball class?,ham
Congratulations! You have WON a vacation. Claim NOW at win-now.co/claim,spam
"Don't forget about the project meeting this Monday, see you there",ham
"Limited time offer! Get laptop FREE, click tinyurl.com/abc today",spam
Can you send me the notes from basketball class?,ham
"Limited time offer! Get laptop FREE, click win-now.co/claim today",spam
"Don't forget about lunch this Monday, see you there",ham
"Don't forget about basketball this the weekend, see you there",ham
Thanks for helping with lunch yesterday,ham
"Don't forget about lunch this the weekend, see you there",ham
"Running a bit late for basketball, be there in 10 min",ham
WIN a FREE vacation now! Click here: tinyurl.com/abc,spam
"Don't forget about basketball this Friday, see you there",ham
You've been selected for a vacation! Reply YES to claim,spam
WIN a FREE cash prize now! Click here: win-now.co/claim,spam
Thanks for helping with the project meeting yesterday,ham
"Running a bit late for the study group, be there in 10 min",ham
"Don't forget about the study group this the weekend, see you there",ham
What time does basketball start on tomorrow?,ham
"Running a bit late for the project meeting, be there in 10 min",ham
"Hey, are we still meeting for basketball on tomorrow?",ham
Thanks for helping with basketball yesterday,ham
"Don't forget about the study group this Monday, see you there",ham
Can you send me the notes from the project meeting class?,ham
Can you send me the notes from lunch class?,ham
"Limited time offer! Get gift card FREE, click tinyurl.com/abc today",spam
Cash prize alert: claim your cash prize before it expires! tinyurl.com/abc,spam
"Running a bit late for the project meeting, be there in 10 min",ham
"Running a bit late for the study group, be there in 10 min",ham
Thanks for helping with the project meeting yesterday,ham
Thanks for helping with basketball yesterday,ham
What time does basketball start on the weekend?,ham
Congratulations! You have WON a gift card. Claim NOW at win-now.co/claim,spam
URGENT: Your account will be suspended. Verify at win-now.co/claim,spam
Cash prize alert: claim your vacation before it expires! tinyurl.com/abc,spam
"Running a bit late for basketball, be there in 10 min",ham
Cash prize alert: claim your laptop before it expires! tinyurl.com/abc,spam
Thanks for helping with basketball yesterday,ham
URGENT: Your account will be suspended. Verify at tinyurl.com/abc,spam
What time does basketball start on the weekend?,ham
You've been selected for a gift card! Reply YES to claim,spam
Can you send me the notes from lunch class?,ham
Cash prize alert: claim your laptop before it expires! bit.ly/xyz123,spam
"Hey, are we still meeting for lunch on the weekend?",ham
Thanks for helping with lunch yesterday,ham
You've been selected for a cash prize! Reply YES to claim,spam
Thanks for helping with the project meeting yesterday,ham
"Don't forget about basketball this tomorrow, see you there",ham
"Hey, are we still meeting for the study group on Monday?",ham
Can you send me the notes from the project meeting class?,ham
"Hey, are we still meeting for the project meeting on the weekend?",ham
Cash prize alert: claim your gift card before it expires! bit.ly/xyz123,spam
You've been selected for a laptop! Reply YES to claim,spam
"Don't forget about basketball this the weekend, see you there",ham
"Running a bit late for the project meeting, be there in 10 min",ham
Thanks for helping with basketball yesterday,ham
"Don't forget about the study group this the weekend, see you there",ham
What time does the study group start on Monday?,ham
"Don't forget about the study group this Friday, see you there",ham
What time does the project meeting start on the weekend?,ham
"Hey, are we still meeting for the project meeting on Monday?",ham
Congratulations! You have WON a vacation. Claim NOW at tinyurl.com/abc,spam
"Hey, are we still meeting for basketball on the weekend?",ham
URGENT: Your account will be suspended. Verify at tinyurl.com/abc,spam
"Running a bit late for lunch, be there in 10 min",ham
What time does the study group start on Monday?,ham
Thanks for helping with basketball yesterday,ham
"Running a bit late for basketball, be there in 10 min",ham
"Don't forget about basketball this Friday, see you there",ham
Congratulations! You have WON a vacation. Claim NOW at bit.ly/xyz123,spam
"Running a bit late for basketball, be there in 10 min",ham
Thanks for helping with the study group yesterday,ham
"Running a bit late for lunch, be there in 10 min",ham
"Don't forget about lunch this Monday, see you there",ham
You've been selected for a laptop! Reply YES to claim,spam
Can you send me the notes from the study group class?,ham
Thanks for helping with lunch yesterday,ham
Thanks for helping with lunch yesterday,ham
Thanks for helping with the study group yesterday,ham
"Hey, are we still meeting for the project meeting on tomorrow?",ham
Thanks for helping with basketball yesterday,ham
"Running a bit late for lunch, be there in 10 min",ham
What time does lunch start on Monday?,ham
"Hey, are we still meeting for the project meeting on Monday?",ham
Congratulations! You have WON a cash prize. Claim NOW at win-now.co/claim,spam
What time does the project meeting start on tomorrow?,ham
Thanks for helping with the project meeting yesterday,ham
What time does the study group start on tomorrow?,ham
You've been selected for a vacation! Reply YES to claim,spam
Congratulations! You have WON a iPhone. Claim NOW at bit.ly/xyz123,spam
Thanks for helping with the project meeting yesterday,ham
Can you send me the notes from the project meeting class?,ham
Congratulations! You have WON a iPhone. Claim NOW at bit.ly/xyz123,spam
Thanks for helping with lunch yesterday,ham
WIN a FREE laptop now! Click here: bit.ly/xyz123,spam
What time does lunch start on Friday?,ham
Thanks for helping with the project meeting yesterday,ham
"Hey, are we still meeting for the study group on tomorrow?",ham
Cash prize alert: claim your laptop before it expires! tinyurl.com/abc,spam
What time does basketball start on Friday?,ham
Can you send me the notes from the study group class?,ham
"Hey, are we still meeting for the study group on the weekend?",ham
"Hey, are we still meeting for basketball on the weekend?",ham
"Don't forget about the project meeting this the weekend, see you there",ham
"Limited time offer! Get cash prize FREE, click win-now.co/claim today",spam
Can you send me the notes from basketball class?,ham
"Hey, are we still meeting for the project meeting on the weekend?",ham
Can you send me the notes from the project meeting class?,ham
URGENT: Your account will be suspended. Verify at tinyurl.com/abc,spam
